beta,rgb_supervise,rgb_weak_supervise_prop,z_dim,smooth,alpha,img_metric_mean,img_metric_std,color_metric_mean,color_metric_std
1.0,True,0.05,8,0.001,2.5,"[9.85481595e-01 0.00000000e+00 4.80920422e+01 4.53382728e-03
 8.98808272e+01 5.51066652e+01 9.79580918e-01 0.00000000e+00
 5.00438761e+01 3.92695041e-03 8.97009760e+01 5.43719791e+01
 9.82987452e-01]","[3.28623144e+00 0.00000000e+00 4.74660145e+00 2.41730606e-03
 7.54596027e-01 3.92647469e+00 2.00552671e-02 0.00000000e+00
 6.19896504e+00 2.49897169e-03 1.48806649e+00 3.41240857e+00
 1.94301652e-02]",43.68104557821045,19.01518725746052
1.0,False,0.05,16,0.001,2.5,"[1.43768373e+00 0.00000000e+00 5.01915308e+01 3.55475856e-03
 8.98761788e+01 5.58165998e+01 9.86962149e-01 0.00000000e+00
 5.18719758e+01 3.09869050e-03 8.96698234e+01 5.52860290e+01
 9.89134671e-01]","[3.66868808e+00 0.00000000e+00 4.61034366e+00 1.96942971e-03
 7.59359502e-01 3.48873204e+00 1.42576724e-02 0.00000000e+00
 5.56753173e+00 1.98909995e-03 1.63787824e+00 3.10165373e+00
 1.36424417e-02]",43.45889566711155,18.715734970298367
2.5,True,0.05,16,0.001,0.5,"[8.46977825e-01 0.00000000e+00 4.94470170e+01 3.81042049e-03
 8.98777383e+01 5.55566930e+01 9.85173227e-01 0.00000000e+00
 5.14067264e+01 3.26806890e-03 8.97178204e+01 5.50534043e+01
 9.88038476e-01]","[3.36802249e+00 0.00000000e+00 4.34843308e+00 1.96825625e-03
 7.56847554e-01 3.51188693e+00 1.50093997e-02 0.00000000e+00
 5.68542896e+00 2.03272319e-03 1.43636028e+00 3.15686319e+00
 1.44493925e-02]",44.45013483623564,18.35518317573697
1.0,True,0.05,8,0.001,0.5,"[8.80191824e-01 0.00000000e+00 4.81335917e+01 4.53922971e-03
 8.98840786e+01 5.52537186e+01 9.79079140e-01 0.00000000e+00
 4.99376553e+01 3.97522185e-03 8.97441917e+01 5.43188688e+01
 9.82485199e-01]","[3.41063682e+00 0.00000000e+00 4.86908510e+00 2.44850578e-03
 7.55187768e-01 4.02579728e+00 2.06084895e-02 0.00000000e+00
 6.21723386e+00 2.51541014e-03 1.33269185e+00 3.42577150e+00
 2.01050400e-02]",45.833078619660654,18.74429721010103
1.0,False,0.05,8,0.005,2.5,"[1.00881847e+00 0.00000000e+00 4.80896559e+01 4.53682192e-03
 8.98807272e+01 5.51106969e+01 9.79541929e-01 0.00000000e+00
 5.00468102e+01 3.92783078e-03 8.97041598e+01 5.43734462e+01
 9.82974239e-01]","[3.33829543e+00 0.00000000e+00 4.75334433e+00 2.42135430e-03
 7.55003468e-01 3.93363113e+00 2.00945581e-02 0.00000000e+00
 6.20796488e+00 2.50250184e-03 1.47325739e+00 3.41664092e+00
 1.94487818e-02]",46.669871506387224,19.488255489362345
2.5,True,0.05,16,0.001,1.0,"[1.04909559e+00 0.00000000e+00 4.97095797e+01 3.72529493e-03
 8.98733001e+01 5.57131017e+01 9.85933096e-01 0.00000000e+00
 5.16095386e+01 3.21724083e-03 8.96717340e+01 5.51548104e+01
 9.88379414e-01]","[3.39969597e+00 0.00000000e+00 4.45709916e+00 2.01056558e-03
 7.65355640e-01 3.63016139e+00 1.51085119e-02 0.00000000e+00
 5.75465312e+00 2.06578969e-03 1.65206903e+00 3.18794670e+00
 1.44492840e-02]",45.01665818266626,19.47363827855311
2.5,True,0.05,64,0.005,0.1,"[8.66570968e-01 0.00000000e+00 4.95289825e+01 3.74022341e-03
 8.98795237e+01 5.56321496e+01 9.85919430e-01 0.00000000e+00
 5.15367947e+01 3.20718657e-03 8.97182099e+01 5.51184384e+01
 9.88507557e-01]","[3.10288958e+00 0.00000000e+00 4.19753603e+00 1.85412916e-03
 7.57108934e-01 3.49238891e+00 1.39479461e-02 0.00000000e+00
 5.68141591e+00 1.94844562e-03 1.45475183e+00 3.15621612e+00
 1.36103021e-02]",55.853999655150545,16.8745705976592
0.5,False,0.05,16,0.001,1.0,"[9.48563344e-01 0.00000000e+00 5.04329241e+01 3.45784202e-03
 8.98735005e+01 5.58835213e+01 9.87498196e-01 0.00000000e+00
 5.22553484e+01 2.98885568e-03 8.97040224e+01 5.54777153e+01
 9.89608820e-01]","[3.36461572e+00 0.00000000e+00 4.58387759e+00 1.93745762e-03
 7.59648418e-01 3.50653927e+00 1.41042017e-02 0.00000000e+00
 5.71645966e+00 1.95556395e-03 1.44938953e+00 3.17077514e+00
 1.35175547e-02]",44.205049482066535,18.627495165962983
0.5,True,0.05,8,0.001,0.5,"[1.02725022e+00 0.00000000e+00 4.82629555e+01 4.49873013e-03
 8.98810701e+01 5.51842641e+01 9.79506186e-01 0.00000000e+00
 5.01833419e+01 3.90670368e-03 8.96918997e+01 5.44417120e+01
 9.82947112e-01]","[3.39273042e+00 0.00000000e+00 4.98252073e+00 2.46324775e-03
 7.57140258e-01 3.95355209e+00 2.04777161e-02 0.00000000e+00
 6.36588541e+00 2.53320924e-03 1.57496979e+00 3.50100317e+00
 1.98418907e-02]",49.548414019147096,18.48655137092495
0.5,False,0.05,16,0.005,0.1,"[1.00579610e+00 0.00000000e+00 5.04654253e+01 3.45493429e-03
 8.98686764e+01 5.59346674e+01 9.87547111e-01 0.00000000e+00
 5.26354458e+01 2.90875897e-03 8.96338677e+01 5.56677640e+01
 9.89964772e-01]","[3.32351513e+00 0.00000000e+00 4.62885404e+00 1.96425905e-03
 7.70071535e-01 3.59812856e+00 1.43182420e-02 0.00000000e+00
 5.92626778e+00 1.99675120e-03 1.78921909e+00 3.27293858e+00
 1.36623617e-02]",49.381715745394075,18.767636589056195
0.5,True,0.05,64,0.001,2.5,"[1.07543196e+00 0.00000000e+00 5.11322899e+01 3.16234092e-03
 8.98777302e+01 5.64156248e+01 9.89780603e-01 0.00000000e+00
 5.31431888e+01 2.70501372e-03 8.96729363e+01 5.59216355e+01
 9.91627077e-01]","[3.30927440e+00 0.00000000e+00 4.43269457e+00 1.71113971e-03
 7.59872803e-01 3.58713916e+00 1.12547873e-02 0.00000000e+00
 5.80924390e+00 1.74620909e-03 1.63666150e+00 3.21466042e+00
 1.06539170e-02]",43.739319845085724,18.748442908409828
