,beta,rgb_supervise,rgb_weak_supervise_prop,z_dim,smooth,alpha,color_metric_mean,color_metric_std,deltae,issm,psnr,rmse,sam,sre,ssim1,issm1,psnr1,rmse1,sam1,sre1,encoder_class
59,0.5,0,0.05,8,0.001,0.1,45.33,19.35,99.8,0.0,48.32,0.0,89.88,55.17,0.98,0.0,50.16,0.0,89.75,54.43,2
8,0.5,0,0.05,8,0.001,0.5,48.67,18.87,99.77,0.0,48.27,0.0,89.88,55.18,0.98,0.0,50.18,0.0,89.69,54.44,2
89,0.5,0,0.05,8,0.001,1.0,43.76,19.49,99.75,0.0,48.19,0.0,89.88,55.12,0.98,0.0,49.81,0.0,89.67,54.25,2
1,0.5,0,0.05,8,0.001,2.5,42.54,17.97,99.8,0.0,47.99,0.0,89.88,55.29,0.98,0.0,49.84,0.0,89.73,54.27,2
115,0.5,0,0.05,8,0.005,0.1,56.54,15.94,99.8,0.0,48.32,0.0,89.88,55.18,0.98,0.0,50.16,0.0,89.74,54.43,2
92,0.5,0,0.05,8,0.005,0.5,56.36,15.63,99.77,0.0,48.28,0.0,89.88,55.18,0.98,0.0,50.19,0.0,89.69,54.45,2
72,0.5,0,0.05,8,0.005,1.0,49.58,17.81,99.75,0.0,48.2,0.0,89.88,55.12,0.98,0.0,49.81,0.0,89.67,54.26,2
140,0.5,0,0.05,8,0.005,2.5,47.83,18.71,99.8,0.0,47.99,0.0,89.88,55.29,0.98,0.0,49.83,0.0,89.74,54.26,2
51,0.5,0,0.05,16,0.001,0.1,44.13,18.47,99.77,0.0,50.47,0.0,89.87,55.92,0.99,0.0,52.65,0.0,89.63,55.67,2
28,0.5,0,0.05,16,0.001,0.5,43.67,18.71,99.76,0.0,50.66,0.0,89.88,56.2,0.99,0.0,52.82,0.0,89.72,55.76,2
45,0.5,0,0.05,16,0.001,1.0,44.21,18.63,99.79,0.0,50.43,0.0,89.87,55.88,0.99,0.0,52.26,0.0,89.7,55.48,2
135,0.5,0,0.05,16,0.001,2.5,43.59,18.76,99.8,0.0,50.34,0.0,89.87,55.87,0.99,0.0,52.54,0.0,89.67,55.62,2
47,0.5,0,0.05,16,0.005,0.1,49.38,18.77,99.77,0.0,50.47,0.0,89.87,55.93,0.99,0.0,52.64,0.0,89.63,55.67,2
132,0.5,0,0.05,16,0.005,0.5,51.71,18.15,99.76,0.0,50.66,0.0,89.88,56.2,0.99,0.0,52.86,0.0,89.72,55.78,2
70,0.5,0,0.05,16,0.005,1.0,45.8,18.38,99.78,0.0,50.41,0.0,89.87,55.88,0.99,0.0,52.22,0.0,89.7,55.46,2
23,0.5,0,0.05,16,0.005,2.5,47.52,19.07,99.8,0.0,50.32,0.0,89.87,55.86,0.99,0.0,52.5,0.0,89.67,55.6,2
83,0.5,0,0.05,64,0.001,0.1,44.3,19.25,99.81,0.0,51.13,0.0,89.87,56.22,0.99,0.0,53.2,0.0,89.67,55.95,2
76,0.5,0,0.05,64,0.001,0.5,45.11,19.11,99.79,0.0,51.46,0.0,89.88,56.48,0.99,0.0,53.55,0.0,89.68,56.13,2
19,0.5,0,0.05,64,0.001,1.0,43.3,18.75,99.55,0.0,51.16,0.0,89.88,56.33,0.99,0.0,53.43,0.0,89.66,56.07,2
81,0.5,0,0.05,64,0.001,2.5,44.54,18.9,99.76,0.0,51.15,0.0,89.88,56.42,0.99,0.0,53.17,0.0,89.67,55.93,2
